Country Code,2013 internet users,Country Name,2013 internet user %, 2013 pop ,notes,,GA results,lookup
WLD,2716755224,World,38%," 7,124,543,962 ",,,USA,
LMY,1693706787,Low & middle income,29%," 5,818,411,891 ",,,GBR,
MIC,1627043874,Middle income,33%," 4,969,744,376 ",,,FRA,
LMC,542824622,Lower middle income,21%," 2,561,088,084 ",,,CHN,
UMC,1078902224,Upper middle income,45%," 2,408,656,292 ",,,DEU,
EAS,995664612,East Asia & Pacific (all income levels),44%," 2,248,641,459 ",,,BRA,
EAP,791936966,East Asia & Pacific (developing only),39%," 2,005,808,800 ",,,IND,
SAS,229532767,South Asia,14%," 1,670,808,253 ",,,JPN,
CHN,621680040,China,46%," 1,357,380,000 ",,,CAN,
HIC,1021463067,High income,78%," 1,306,132,071 ",,,RUS,
OED,951123279,OECD members,75%," 1,261,603,870 ",,,AUS,
IND,189073079,India,15%," 1,252,139,596 ",,,NLD,
OEC,855909757,High income: OECD,81%," 1,054,441,583 ",,,ESP,
SSF,158513741,Sub-Saharan Africa (all income levels),17%," 936,876,497 ",,,UKR,
SSA,158389640,Sub-Saharan Africa (developing only),17%," 936,119,483 ",,,POL,
ECS,587821992,Europe & Central Asia (all income levels),65%," 898,926,561 ",,,ITA,
LDC,62875691,Least developed countries: UN classification,7%," 898,287,691 ",,,SWE,
LIC,60523547,Low income,7%," 848,667,515 ",,,KOR,
HPC,48487676,Heavily indebted poor countries (HIPC),7%," 673,564,609 ",,,ARG,
LCN,287508160,Latin America & Caribbean (all income levels),47%," 615,332,338 ",,,ISR,
LAC,269387225,Latin America & Caribbean (developing only),46%," 588,019,503 ",,,TWN,True
EUU,382576101,European Union,75%," 506,739,265 ",,,BEL,
FCS,39839126,Fragile and conflict affected situations,9%," 446,372,465 ",,,MEX,
MEA,157457364,Middle East & North Africa (all income levels),39%," 402,606,687 ",,,CHE,
ARB,136325903,Arab World,37%," 369,761,523 ",,,NOR,
NAC,296402353,North America,84%," 351,352,167 ",,,VNM,
MNA,117932296,Middle East & North Africa (developing only),34%," 345,447,146 ",,,FIN,
EMU,253272367,Euro area,76%," 334,048,965 ",,,IRL,
USA,266180482,United States,84%," 316,128,839 ",,,IDN,
ECA,124953604,Europe & Central Asia (developing only),46%," 272,208,706 ",,,DNK,
NOC,165320858,High income: nonOECD,66%," 251,690,488 ",,,ROU,
IDN,39528743,Indonesia,16%," 249,865,631 ",,,SGP,
BRA,103386753,Brazil,52%," 200,361,925 ",,,CZE,
PAK,30000000,Pakistan,," 182,142,594 ","mid 2013, wikipedia",,PHL,
NGA,65973831,Nigeria,38%," 173,615,345 ",,,NZL,
BGD,10178673,Bangladesh,7%," 156,594,962 ",,,ZAF,
RUS,88108915,Russian Federation,61%," 143,499,861 ",,,AUT,
JPN,109829561,Japan,86%," 127,338,621 ",,,PRT,
MEX,53165661,Mexico,43%," 122,332,399 ",,,THA,
CEB,65948897,Central Europe and the Baltics,63%," 104,199,533 ",,,BGR,
PHL,36405622,Philippines,37%," 98,393,574 ",,,HKG,
ETH,1787914,Ethiopia,2%," 94,100,756 ",,,TUR,
VNM,39382207,Vietnam,44%," 89,708,900 ",,,BLR,
EGY,40667141,"Egypt, Arab Rep.",50%," 82,056,378 ",,,COL,
DEU,67691182,Germany,84%," 80,621,788 ",,,HUN,
IRN,24318411,"Iran, Islamic Rep.",31%," 77,447,168 ",,,CHL,
TUR,34656346,Turkey,46%," 74,932,641 ",,,GRC,
COD,1485301,"Congo, Dem. Rep.",2%," 67,513,677 ",,,MYS,
THA,19392839,Thailand,29%," 67,010,502 ",,,SRB,
FRA,54090388,France,82%," 66,028,467 ",,,CRI,
GBR,57587449,United Kingdom,90%," 64,097,085 ",,,SVK,
ITA,34976838,Italy,58%," 59,831,093 ",,,HRV,
MMR,639108,Myanmar,1%," 53,259,018 ",,,VEN,
ZAF,25908194,South Africa,49%," 52,981,991 ",,,SVN,
KOR,42571213,"Korea, Rep.",85%," 50,219,669 ",,,PER,
TZA,2167138,Tanzania,4%," 49,253,126 ",,,PAK,
COL,24982166,Colombia,52%," 48,321,405 ",,,EGY,
ESP,33386446,Spain,72%," 46,647,421 ",,,IRN,
UKR,19014653,Ukraine,42%," 45,489,600 ",,,LTU,
KEN,17297939,Kenya,39%," 44,353,691 ",,,LVA,
ARG,24826301,Argentina,60%," 41,446,246 ",,,MAR,
DZA,6469352,Algeria,17%," 39,208,194 ",,,ISL,
POL,24216252,Poland,63%," 38,530,725 ",,,ARE,
SDN,8617897,Sudan,23%," 37,964,306 ",,,EST,
UGA,6087778,Uganda,16%," 37,578,876 ",,,BGD,
CAN,30165825,Canada,86%," 35,158,304 ",,,URY,
IRQ,3074408,Iraq,9%," 33,417,476 ",,,DOM,
MAR,18484564,Morocco,56%," 33,008,150 ",,,TUN,
AFG,1802549,Afghanistan,6%," 30,551,674 ",,,MDA,
VEN,16692459,"Venezuela, RB",55%," 30,405,207 ",,,KAZ,
PER,11907236,Peru,39%," 30,375,603 ",,,NPL,
UZB,11552100,Uzbekistan,38%," 30,241,100 ",,,LKA,
MYS,19901451,Malaysia,67%," 29,716,965 ",,,ECU,
SST,7055162,Small states,24%," 29,497,285 ",,,BOL,
SAU,17441466,Saudi Arabia,61%," 28,828,870 ",,,KEN,
NPL,3697062,Nepal,13%," 27,797,457 ",,,ARM,
GHA,3186266,Ghana,12%," 25,904,598 ",,,BIH,
MOZ,1395023,Mozambique,5%," 25,833,752 ",,,MKD,
PRK,0,"Korea, Dem. Rep.",0%," 24,895,480 ",,,LUX,
YEM,4881476,"Yemen, Rep.",20%," 24,407,381 ",,,MLT,
AUS,19198647,Australia,83%," 23,130,900 ",,,GTM,
MDG,504347,Madagascar,2%," 22,924,851 ",,,NGA,
SYR,5985534,Syrian Arab Republic,26%," 22,845,550 ",,,DZA,
CMR,1424253,Cameroon,6%," 22,253,959 ",,,MNG,
AGO,4101079,Angola,19%," 21,471,618 ",,,SAU,
LKA,4485777,Sri Lanka,22%," 20,483,000 ",,,JOR,
CIV,528218,Cote d'Ivoire,3%," 20,316,086 ",,,GHA,
OSS,3277817,Other small states,16%," 20,214,523 ",,,PAN,
ROU,9934776,Romania,50%," 19,963,581 ",,,NIC,
NER,303132,Niger,2%," 17,831,270 ",,,PRI,
CHL,11717106,Chile,67%," 17,619,708 ",,,KHM,
KAZ,9200254,Kazakhstan,54%," 17,037,508 ",,,CYP,
BFA,745133,Burkina Faso,4%," 16,934,839 ",,,SLV,
NLD,15788644,Netherlands,94%," 16,804,224 ",,,KGZ,
MWI,883579,Malawi,5%," 16,362,567 ",,,UZB,
ECU,6350814,Ecuador,40%," 15,737,878 ",,,LBN,
GTM,3047236,Guatemala,20%," 15,468,203 ",,,CIV,
MLI,351938,Mali,2%," 15,301,650 ",,,GEO,
KHM,908110,Cambodia,6%," 15,135,169 ",,,JAM,
ZMB,2238951,Zambia,15%," 14,538,640 ",,,XKX,True
ZWE,2617685,Zimbabwe,19%," 14,149,648 ",,,TZA,
SEN,2953856,Senegal,21%," 14,133,280 ",,,UGA,
TCD,294982,Chad,2%," 12,825,314 ",,,GIB,True
